,City,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,beringovskiy,ru,63.05,179.32,254.474,100.0,0.0,7.77
2,yen bai,vn,21.7,104.87,292.024,100.0,100.0,1.32
3,deputatskiy,ru,69.3,139.9,239.174,44.0,48.0,1.27
4,albany,au,42.65,-73.75,273.94,62.0,90.0,4.1
6,ribeira grande,pt,38.52,-28.7,287.15,62.0,40.0,5.7
7,morondava,mg,-20.3,44.28,301.224,89.0,0.0,2.62
8,butaritari,ki,3.07,172.79,301.174,100.0,92.0,6.12
9,le mars,us,42.79,-96.17,287.14,44.0,1.0,3.6
11,east london,za,-33.02,27.91,294.374,100.0,0.0,3.42
12,calvinia,za,-31.47,19.78,285.324,89.0,0.0,1.62
14,busselton,au,-33.64,115.35,293.224,100.0,88.0,3.17
15,vaini,to,15.34,74.49,296.974,62.0,76.0,1.42
16,nacala,mz,-14.56,40.69,300.974,97.0,8.0,3.62
17,cape town,za,-33.93,18.42,291.15,93.0,75.0,6.7
18,klaksvik,fo,62.23,-6.59,279.15,87.0,92.0,15.9
19,hilo,us,19.71,-155.08,294.34,94.0,90.0,2.1
20,preston,us,53.76,-2.71,283.16,71.0,20.0,10.8
21,yellowknife,ca,62.45,-114.38,273.15,93.0,75.0,4.1
22,kapaa,us,22.08,-159.32,295.53,94.0,75.0,7.7
23,omboue,ga,-1.57,9.26,301.374,99.0,56.0,4.92
24,utinga,br,-5.82,-35.4,301.15,74.0,20.0,5.1
25,nikolskoye,ru,59.7,30.79,268.15,67.0,75.0,9.0
26,quelimane,mz,-17.88,36.89,299.224,86.0,80.0,1.52
27,punta arenas,cl,-53.16,-70.91,282.15,45.0,40.0,11.3
28,saint george,bm,39.45,22.34,285.15,51.0,20.0,3.6
29,alice springs,au,-23.7,133.88,286.15,82.0,0.0,1.87
30,martapura,id,-3.41,114.85,298.324,100.0,64.0,0.82
31,tankhoy,ru,51.55,105.12,253.624,47.0,0.0,1.97
32,imeni poliny osipenko,ru,52.42,136.49,260.874,68.0,76.0,5.17
33,port lincoln,au,-34.72,135.86,289.824,100.0,68.0,3.47
34,shenjiamen,cn,29.96,122.3,287.024,92.0,64.0,6.57
35,pitimbu,br,-7.47,-34.81,301.15,69.0,20.0,3.6
36,rikitea,pf,-23.12,-134.97,300.774,99.0,8.0,3.47
37,flinders,au,-34.58,150.85,291.15,100.0,0.0,3.6
39,margate,za,-43.03,147.26,289.15,55.0,75.0,5.7
41,lebu,cl,8.96,38.73,289.15,77.0,40.0,1.0
42,atuona,pf,-9.8,-139.03,300.224,100.0,64.0,6.52
43,aklavik,ca,68.22,-135.01,265.49,78.0,90.0,2.1
46,pevek,ru,69.7,170.27,239.374,93.0,32.0,1.17
47,banda aceh,id,5.56,95.32,296.474,98.0,24.0,1.12
49,yatou,cn,3.63,9.81,300.15,94.0,75.0,1.0
50,san juan,ar,18.47,-66.12,302.15,54.0,40.0,6.2
52,nome,us,30.04,-94.42,293.39,21.0,1.0,1.5
54,kodiak,us,39.95,-94.76,292.15,17.0,1.0,7.2
55,gbarnga,lr,7.0,-9.47,296.424,93.0,44.0,3.47
56,matay,eg,28.42,30.79,290.024,60.0,0.0,2.27
58,saint-philippe,re,45.36,-73.48,273.89,86.0,90.0,5.1
59,ushtobe,kz,45.25,77.98,274.374,99.0,92.0,2.72
