Twitter Account,Tweet,Created Date,Tweets Ago,Compound Score,Positive Score,Neutral Score,Negative Score
@BBC,"Follow the dramatic and deadly series of events that took place at two funerals in Belfast in March 1988. 

The Fun… https://t.co/y3MZaR8hsi",Mon Mar 19 19:33:04 +0000 2018,1,-0.3818,0.0,0.89,0.11
@BBC,"Leonardo DiCaprio stars in the true story of a con man who cashed fake cheques worth millions. 

Catch Me If You Ca… https://t.co/HWShPj9ngi",Mon Mar 19 18:33:05 +0000 2018,2,0.1531,0.175,0.709,0.116
@BBC,"😂📸 @AlanCarr learned the hard way that you only get one shot at a school photo. #LiveAtTheApollo 

https://t.co/fv5JmcRgz4",Mon Mar 19 18:03:01 +0000 2018,3,-0.1027,0.0,0.92,0.08
@BBC,🎤Pop band @FifthHarmony have announced they're taking a break to pursue solo careers 🎶https://t.co/tLOR7h1gZy https://t.co/5c77Cfjfp6,Mon Mar 19 17:30:08 +0000 2018,4,0.0,0.0,1.0,0.0
@BBC,"Murder. Innocence. Lies. 

@AgathaChristie classic, #OrdealByInnocence, comes to @BBCOne soon.
https://t.co/qfJThHowXC",Mon Mar 19 17:00:05 +0000 2018,5,-0.7096,0.144,0.442,0.414
@BBC,Here are the latest snow scenes from around the UK. ❄️📸 https://t.co/eTBGkQ4MPU https://t.co/txRHxkOn5C,Mon Mar 19 16:33:29 +0000 2018,6,0.0,0.0,1.0,0.0
@BBC,'Flabbergasted'. 🎶This is the incredible moment when eight London teenagers heard a live opera singer for the first… https://t.co/jNki4Z61SE,Mon Mar 19 15:02:02 +0000 2018,7,0.0,0.0,1.0,0.0
@BBC,"Meet the dancing slum kids tipped for stardom by Rihanna 🎶
https://t.co/R61fzQGIzd https://t.co/wGcvBKmdaZ",Mon Mar 19 14:30:08 +0000 2018,8,0.0,0.0,1.0,0.0
@BBC,"RT @bbcgetinspired: The Nation's Billion Steps Challenge is here! 🙌 

Yesterday we did an amazing 431 million steps – can we do even better…",Mon Mar 19 13:44:55 +0000 2018,9,0.6588,0.212,0.788,0.0
@BBC,"💭 ""There's always that voice in the back of your head that says you're not good enough"". 

 💪 @CarrieHFletcher on b… https://t.co/0AsBxFFiQA",Mon Mar 19 13:03:04 +0000 2018,10,-0.3412,0.0,0.888,0.112
@BBC,RT @BBCRadioScot: This must have been some buzz! 🐝🐝🐝 https://t.co/0gqtbQBN1i,Mon Mar 19 12:55:17 +0000 2018,11,0.0,0.0,1.0,0.0
@BBC,Where are the UK's youngest and oldest city populations? https://t.co/eIU7UzqHBS https://t.co/vdXMTDluuX,Mon Mar 19 12:30:05 +0000 2018,12,0.0,0.0,1.0,0.0
@BBC,RT @BBCSport: This 102-shot badminton rally will leave you exhausted... https://t.co/LFC4r4iwiz,Mon Mar 19 11:50:58 +0000 2018,13,-0.0516,0.0,0.893,0.107
@BBC,"Have you got a passion for plants? 🌿🌸🌱🍃🌷

Test your knowledge of all things foliage in this quiz. 👉… https://t.co/evogV5ljAc",Mon Mar 19 11:33:04 +0000 2018,14,0.4588,0.143,0.857,0.0
@BBC,"RT @BBCSport: 🎉 The Commonwealth Games are almost upon us! 🎉

Scotland's Lynsey Sharp has given us the inside track on preparing for succes…",Mon Mar 19 10:53:19 +0000 2018,15,0.0,0.0,1.0,0.0
@BBC,The oldest dog that the Dogs Trust has ever looked after has been given a new home. ❤️️🐶https://t.co/h0WQHkfMEf https://t.co/ixb7gesOIj,Mon Mar 19 10:33:03 +0000 2018,16,0.5106,0.163,0.837,0.0
@BBC,"RT @BBCR1: Desperately searching for any signs of spring like... 🌸

#MondayMotivation https://t.co/9jo3h4C7bu",Mon Mar 19 09:58:24 +0000 2018,17,-0.3818,0.0,0.809,0.191
@BBC,"RT @BBCRadioWales: ❄️ Snowy Cardiff! ⛄️ 

What’s it like for you?

#ButePark 
#Cardiff 
#MiniBeast
#Snow https://t.co/O8gY1qjHVE",Mon Mar 19 09:58:15 +0000 2018,18,0.4199,0.157,0.843,0.0
@BBC,"RT @BBCNews: Stem cell transplant ""game changer"" for MS patients https://t.co/BGWtdtXUAP",Mon Mar 19 09:58:10 +0000 2018,19,0.0,0.0,1.0,0.0
@BBC,RT @BBCBreakfast: Anyone want to play a game of spot Tracey's feet? Our floor manager Tracey had to dive behind the sofa to avoid being on…,Mon Mar 19 09:57:58 +0000 2018,20,0.128,0.133,0.789,0.079
@BBC,"Follow the dramatic and deadly series of events that took place at two funerals in Belfast in March 1988. 

The Fun… https://t.co/y3MZaR8hsi",Mon Mar 19 19:33:04 +0000 2018,21,-0.3818,0.0,0.89,0.11
@BBC,"Leonardo DiCaprio stars in the true story of a con man who cashed fake cheques worth millions. 

Catch Me If You Ca… https://t.co/HWShPj9ngi",Mon Mar 19 18:33:05 +0000 2018,22,0.1531,0.175,0.709,0.116
@BBC,"😂📸 @AlanCarr learned the hard way that you only get one shot at a school photo. #LiveAtTheApollo 

https://t.co/fv5JmcRgz4",Mon Mar 19 18:03:01 +0000 2018,23,-0.1027,0.0,0.92,0.08
@BBC,🎤Pop band @FifthHarmony have announced they're taking a break to pursue solo careers 🎶https://t.co/tLOR7h1gZy https://t.co/5c77Cfjfp6,Mon Mar 19 17:30:08 +0000 2018,24,0.0,0.0,1.0,0.0
@BBC,"Murder. Innocence. Lies. 

@AgathaChristie classic, #OrdealByInnocence, comes to @BBCOne soon.
https://t.co/qfJThHowXC",Mon Mar 19 17:00:05 +0000 2018,25,-0.7096,0.144,0.442,0.414
@BBC,Here are the latest snow scenes from around the UK. ❄️📸 https://t.co/eTBGkQ4MPU https://t.co/txRHxkOn5C,Mon Mar 19 16:33:29 +0000 2018,26,0.0,0.0,1.0,0.0
@BBC,'Flabbergasted'. 🎶This is the incredible moment when eight London teenagers heard a live opera singer for the first… https://t.co/jNki4Z61SE,Mon Mar 19 15:02:02 +0000 2018,27,0.0,0.0,1.0,0.0
@BBC,"Meet the dancing slum kids tipped for stardom by Rihanna 🎶
https://t.co/R61fzQGIzd https://t.co/wGcvBKmdaZ",Mon Mar 19 14:30:08 +0000 2018,28,0.0,0.0,1.0,0.0
@BBC,"RT @bbcgetinspired: The Nation's Billion Steps Challenge is here! 🙌 

Yesterday we did an amazing 431 million steps – can we do even better…",Mon Mar 19 13:44:55 +0000 2018,29,0.6588,0.212,0.788,0.0
@BBC,"💭 ""There's always that voice in the back of your head that says you're not good enough"". 

 💪 @CarrieHFletcher on b… https://t.co/0AsBxFFiQA",Mon Mar 19 13:03:04 +0000 2018,30,-0.3412,0.0,0.888,0.112
@BBC,RT @BBCRadioScot: This must have been some buzz! 🐝🐝🐝 https://t.co/0gqtbQBN1i,Mon Mar 19 12:55:17 +0000 2018,31,0.0,0.0,1.0,0.0
@BBC,Where are the UK's youngest and oldest city populations? https://t.co/eIU7UzqHBS https://t.co/vdXMTDluuX,Mon Mar 19 12:30:05 +0000 2018,32,0.0,0.0,1.0,0.0
@BBC,RT @BBCSport: This 102-shot badminton rally will leave you exhausted... https://t.co/LFC4r4iwiz,Mon Mar 19 11:50:58 +0000 2018,33,-0.0516,0.0,0.893,0.107
@BBC,"Have you got a passion for plants? 🌿🌸🌱🍃🌷

Test your knowledge of all things foliage in this quiz. 👉… https://t.co/evogV5ljAc",Mon Mar 19 11:33:04 +0000 2018,34,0.4588,0.143,0.857,0.0
@BBC,"RT @BBCSport: 🎉 The Commonwealth Games are almost upon us! 🎉

Scotland's Lynsey Sharp has given us the inside track on preparing for succes…",Mon Mar 19 10:53:19 +0000 2018,35,0.0,0.0,1.0,0.0
@BBC,The oldest dog that the Dogs Trust has ever looked after has been given a new home. ❤️️🐶https://t.co/h0WQHkfMEf https://t.co/ixb7gesOIj,Mon Mar 19 10:33:03 +0000 2018,36,0.5106,0.163,0.837,0.0
@BBC,"RT @BBCR1: Desperately searching for any signs of spring like... 🌸

#MondayMotivation https://t.co/9jo3h4C7bu",Mon Mar 19 09:58:24 +0000 2018,37,-0.3818,0.0,0.809,0.191
@BBC,"RT @BBCRadioWales: ❄️ Snowy Cardiff! ⛄️ 

What’s it like for you?

#ButePark 
#Cardiff 
#MiniBeast
#Snow https://t.co/O8gY1qjHVE",Mon Mar 19 09:58:15 +0000 2018,38,0.4199,0.157,0.843,0.0
@BBC,"RT @BBCNews: Stem cell transplant ""game changer"" for MS patients https://t.co/BGWtdtXUAP",Mon Mar 19 09:58:10 +0000 2018,39,0.0,0.0,1.0,0.0
@BBC,RT @BBCBreakfast: Anyone want to play a game of spot Tracey's feet? Our floor manager Tracey had to dive behind the sofa to avoid being on…,Mon Mar 19 09:57:58 +0000 2018,40,0.128,0.133,0.789,0.079
@BBC,"'Who wants a normal life?' We should all be a little more like @chessmartinez. 👏💖 #LiveAtTheApollo

https://t.co/VddL8zWJfS",Mon Mar 19 09:32:02 +0000 2018,41,0.3642,0.152,0.848,0.0
@BBC,"RT @BBCWthrWatchers: Some incredible photos sent in last night of the #Auroraborealis from Skye Woody, Cumbrian stargazer and DJStewie.  Di…",Mon Mar 19 09:27:50 +0000 2018,42,0.0,0.0,1.0,0.0
@BBC,Beautiful spring blossom in south-west China has been captured by drone https://t.co/WTo7JjiKXw,Mon Mar 19 08:45:02 +0000 2018,43,0.5994,0.262,0.738,0.0
@BBC,"🤔 Should we still be worried about the hole in the ozone layer?

🌤 @SimonOKing and @clarenasir investigate in their… https://t.co/SZV3Df9y0t",Mon Mar 19 08:02:00 +0000 2018,44,-0.296,0.0,0.891,0.109
@BBC,"🏃💪 @LesDennis, @SimplySusannah, @Tameka_Empson and Miles Jupp embark on a muscle-grinding mission to regain their f… https://t.co/B1rXaalmk2",Sun Mar 18 20:30:11 +0000 2018,45,0.0,0.0,1.0,0.0
@BBC,👎💌 Fans of K-Pop boyband member @IBGDRGN have been asked to stop sending fan mail to the army base where he's doing… https://t.co/ojtDZ3gMfb,Sun Mar 18 20:03:04 +0000 2018,46,0.0258,0.09,0.824,0.086
@BBC,"Saoirse Ronan stars as Eilis, a young girl who jumps at the chance of a better life when she emigrates to New York.… https://t.co/NtHAfh6cjZ",Sun Mar 18 19:33:04 +0000 2018,47,0.5994,0.197,0.803,0.0
